,state,puma,emp,emp_alum,emp_steel,emp_tariff,emp_steel_cty_emp_sh,emp_alum_cty_emp_sh,emp_tariff_cty_emp_sh,puma_name,state_abbrev,GEOID10
36,2,200,70200.0,0.0,0.0,0.0,0.0,0.0,0.0,Matanuska-Susitna & Kenai Peninsula Boroughs,AK,0200200
37,2,300,88294.0,0.0,0.0,0.0,0.0,0.0,0.0,"""Greater Fairbanks, Greater Juneau, Ketchikan Gateway Borough & Road-Connected Alaska""",AK,0200300
38,2,400,50637.0,0.0,0.0,0.0,0.0,0.0,0.0,Subsistence Alaska,AK,0200400
39,4,100,59557.0,0.0,0.0,0.0,0.0,0.0,0.0,Maricopa County--Gilbert (South) & Queen Creek Towns,AZ,0400100
40,4,101,67776.0,13.0,106.0,119.0,0.1563975448536355,0.019180830972615675,0.1755783758262512,Maricopa County--Mesa City (East),AZ,0400101
41,4,102,63400.0,0.0,73.0,73.0,0.11514195583596215,0.0,0.11514195583596215,Maricopa County--Mesa City (North Central),AZ,0400102
42,4,103,54965.0,32.0,15.0,47.0,0.027290093695988355,0.058218866551441824,0.08550896024743018,Maricopa County--Mesa City (West),AZ,0400103
43,4,104,45341.0,0.0,74.0,74.0,0.163207692816656,0.0,0.163207692816656,Maricopa County--Mesa City (South Central),AZ,0400104
44,4,105,70342.0,0.0,13.0,13.0,0.01848113502601575,0.0,0.01848113502601575,Maricopa County--Gilbert Town (North),AZ,0400105
45,4,106,61015.0,153.0,43.0,196.0,0.07047447349012538,0.25075801032532985,0.3212324838154552,Maricopa County--Chandler City (Northeast),AZ,0400106
46,4,107,47868.0,15.0,0.0,15.0,0.0,0.031336174479819505,0.031336174479819505,Maricopa County--Chandler City (South),AZ,0400107
47,4,108,59715.0,21.0,20.0,41.0,0.0334924223394457,0.03516704345641799,0.06865946579586368,Maricopa County--Tempe (South) & Chandler (Northwest) Cities,AZ,0400108
48,4,109,60781.0,0.0,0.0,0.0,0.0,0.0,0.0,Maricopa County--Tempe City (North),AZ,0400109
49,4,110,68092.0,0.0,19.0,19.0,0.027903424778241204,0.0,0.027903424778241204,Maricopa County--Scottsdale City (Southwest) & Paradise Valley Town,AZ,0400110
50,4,111,51626.0,0.0,0.0,0.0,0.0,0.0,0.0,Maricopa County (Northeast)--Scottsdale City (Southeast) & Fountain Hills Town,AZ,0400111
51,4,112,54425.0,0.0,12.0,12.0,0.022048690858980247,0.0,0.022048690858980247,"""Maricopa County--Scottsdale (North), Phoenix (Far Northeast) Cities & Cave Creek""",AZ,0400112
52,4,113,56345.0,0.0,0.0,0.0,0.0,0.0,0.0,Phoenix City (Northeast),AZ,0400113
53,4,114,58493.0,19.0,0.0,19.0,0.0,0.03248251927581078,0.03248251927581078,Phoenix City (Northeast Central),AZ,0400114
54,4,115,50010.0,0.0,23.0,23.0,0.04599080183963208,0.0,0.04599080183963208,Phoenix City (Northwest Central),AZ,0400115
55,4,116,51088.0,17.0,0.0,17.0,0.0,0.03327591606639524,0.03327591606639524,Phoenix City (Uptown),AZ,0400116
56,4,117,54404.0,0.0,0.0,0.0,0.0,0.0,0.0,Phoenix City (East),AZ,0400117
57,4,118,50623.0,34.0,97.0,131.0,0.19161250814847006,0.06716314718606167,0.25877565533453173,Phoenix City--Downtown & Sky Harbor International Airport,AZ,0400118
58,4,119,41455.0,0.0,30.0,30.0,0.07236762754794356,0.0,0.07236762754794356,Phoenix City (South),AZ,0400119
59,4,120,56469.0,11.0,13.0,24.0,0.023021480812481183,0.019479714533637924,0.04250119534611911,Phoenix City--Ahwatukee & South Mountain,AZ,0400120
60,4,121,58961.0,163.0,87.0,250.0,0.1475551635827072,0.2764539271721986,0.4240090907549058,Phoenix (Southwest) & Tolleson Cities,AZ,0400121
61,4,122,36883.0,68.0,44.0,112.0,0.11929615269907545,0.1843667814440257,0.30366293414310114,Phoenix City--Maryvale (East),AZ,0400122
62,4,123,50554.0,54.0,69.0,123.0,0.1364877161055505,0.10681647347390909,0.2433041895794596,Phoenix City--Maryvale (West),AZ,0400123
63,4,124,44443.0,34.0,83.0,117.0,0.1867560695722611,0.07650248633080575,0.26325855590306685,Maricopa County--Glendale City (South),AZ,0400124
64,4,125,46942.0,0.0,76.0,76.0,0.16190192152017382,0.0,0.16190192152017382,Phoenix City (West),AZ,0400125
65,4,126,61771.0,13.0,134.0,147.0,0.21693027472438522,0.02104547441355976,0.237975749137945,Maricopa County--Glendale City (North),AZ,0400126
66,4,127,54458.0,32.0,37.0,69.0,0.06794226743545484,0.05876087994417716,0.126703147379632,Maricopa County--Peoria City (South & Central),AZ,0400127
67,4,128,52886.0,0.0,7.0,7.0,0.013236017093370646,0.0,0.013236017093370646,Phoenix City (North),AZ,0400128
